"incidencerate","medincome","povertypercent","studypercap","medianage","pctunemployed16_over","pctprivatecoverage","pctbachdeg25_over","target_deathrate"
452.7,32063,25.8,48.9572114,47.1,15.9,50.3,7.2,189.9
477.5,47201,14.3,203.9600453,26.1,11.6,73.1,13.5,179.9
436.7,60304,14.1,240.5308658,33.3,6.4,79.3,25.4,157.3
499.4,43097,17.9,0,49.8,9.7,61.4,12.7,151.3
473.4,44596,18.8,25.10733385,37.4,10.1,62.9,12.3,203.9
463.5,45453,15.4,0,42.1,9.8,63.1,14,169.8
400,41328,17.1,0,47.8,12.7,58.3,12.3,159.5
457.6,41765,23.4,244.53771,31.5,12.1,66.2,19.1,171.8
423.9,45464,14.7,0,50.9,8.8,68,18.6,156.1
502.3,41770,16.7,245.0997556,40.5,9,59.2,10.6,177.5
490.6,34665,24.7,0,39.9,13.8,48.7,8.9,205.3
409.6,30414,33.1,14.90346282,35.2,12.1,43.4,9,193
520.3,39606,19.4,337.8452015,43.6,10.5,61,9.8,194.3
508.1,44973,18,64.6821233,40.3,11.5,59.1,12.3,189.8
443.9,35629,21.5,1581.563488,43.3,12.2,53.4,10.4,174.8
454.3,33876,29,533.5509384,39.2,10.4,51.2,9,183.6
487.8,32782,28.9,112.6474978,39.1,15.5,47.7,10.1,189.6
495.6,41921,16.5,378.8253121,41.8,12.2,64.3,11.4,180.6
460.9,45065,13.8,0,44.7,9.3,65.2,10.2,184.5
481.1,37915,18.9,82.48216323,42.7,6.9,58,10,198.1
516.6,34788,19.3,0,40.7,7.7,51.9,10.7,215.3
396.8,44490,16.2,0,50.1,6.9,62.8,17.4,137
431,32773,28.3,0,44.4,14.1,50.1,3.9,222.3
429.7,64381,10.8,35.91599249,37.2,7.7,74.3,24.1,158.6
490.4,33609,27,112.188117,40,12.2,50.1,8.2,198.5
451.4,66950,11.5,102.5192394,35.3,6.4,75.9,31.2,155.3
447.7,33869,22.8,0,46.1,10.7,51.7,9.3,185.4
453.6,32867,26.8,0,45.1,15.5,53.1,6.1,167.9
414,41942,26.2,75.6057914,29.5,9.5,77.7,21.2,136
458.6,36890,23.3,805.594045,36.7,12.4,58.7,13,191.3
441.2,33398,23.4,87.58868354,43.7,11.7,58.3,9.1,183.5
452.4,39268,23.9,305.9451257,39.9,10.1,56.4,12.6,199.1
449.1,40801,17.2,0,42.9,8.3,60.3,8.4,179.7
512.6,35974,20.6,0,46.2,11,57.2,12.9,178.6
405.2,45710,10.2,0,47.6,1.2,78.8,18.1,140
479.1,52376,10.3,0,42.8,2.4,81.6,19.4,173.1
462.9,39342,29.9,0,31,6.1,47.6,10.8,169.9
430.4,56965,9.7,0,46,2.6,79.7,16.4,174.1
472.9,60946,7.4,0,43.6,1.8,86.2,16.7,209.3
448.3,62875,8.3,0,36.5,2.3,79.6,14.1,166.8
438.9,66734,8.2,1161.402716,36.8,2.3,83.5,23.5,141.6
462.5,53755,11.3,204.0673539,31.9,3.2,81.5,25.8,143.4
406.8,54057,9,522.4660397,50.8,0.8,86.6,13.9,170.7
320.2,51817,11.7,0,43.2,1.5,82.7,20.5,126
330.6,67344,8.3,0,51.7,0.7,83.4,18.6,93.8
355.6,72018,9.5,0,41.7,4.3,66.8,15.4,127.1
532.1,47596,10.7,0,48.3,1.9,75.6,18.1,227.6
352.4,44282,13.2,0,51.2,3.6,80,13.5,166.9
516.2,54593,8,0,46.9,1.3,84,15.6,174.5
403,53420,10.7,0,41,1,75.2,17.6,205.2
462.5,50435,16.7,338.4285634,29.4,3.6,81.1,21.4,162.5
385.4,39679,16.1,0,53.6,3.4,77.1,13.7,147.3
535.5,51192,9.5,3457.21694,51.8,2,81.9,16.5,232.3
481.5,50038,11.1,0,48.4,1.1,81.2,12.2,160.3
336.1,46923,14.1,0,47,0.9,76.1,16.1,104.8
370.5,53721,9.7,0,48.5,1.9,82,17.3,134.7
360.6,44696,11.9,0,51.8,2.2,82.8,10.9,108.8
429.1,48887,12.3,0,43.3,3.1,76.9,14.9,148.3
424.9,40258,13,0,53.4,1.2,83.9,14.4,125.9
254.7,81209,8.6,0,32.2,3,70.1,17.6,124.6
515.6,56616,10.1,0,47.1,1.6,78,15,153.1
482,74047,7.3,0,45.6,3.2,82.6,15.6,151.9
487.9,54637,9.2,0,38.9,3.2,82.9,19.8,165.2
485.1,66807,9.3,0,34.8,4.7,72.8,17.6,196.8
436,45040,10.8,0,52.8,0.7,75.9,15.7,205.3
338.6,62010,10.6,0,48.5,3.6,80.1,13.7,137.6
381.4,56298,8.9,141.023833,47.2,3.5,79.7,15.2,177
357.4,39572,11.6,0,46.9,0.9,79.1,13.5,106.5
436.3,51097,12.3,0,42.5,1.2,75.8,18.1,164.9
447,56270,8.4,0,44.5,2,83.6,14.6,181.4
403.5,60957,7.7,0,39.9,1.6,87.9,13.4,151.7
456.9,57177,9.7,0,38.9,3,82.7,16.8,137.7
474.1,35630,31.6,0,30.3,4.8,35.8,16.1,216.9
579.7,58467,7.3,3353.973168,45.3,1.2,88.8,16.7,188.2
374.8,44990,16.1,0,52,2,67.9,12,124.8
481.1,33950,33.6,0,27,20.3,36.8,13.5,259.1
425.7,76672,7.6,31.10032966,35,2.8,83.3,17.5,131.8
341.9,59408,7.1,0,50.2,4,84.8,16.3,117.6
471,53333,11.6,0,40.6,2.5,77.7,19.3,172.5
527.4,51961,10.9,0,48.5,2.9,76.1,14.2,169.4
475.3,58995,8.9,0,41.4,2.7,83.1,19.5,158
475,54366,13.1,0,37.7,7.6,73.1,13.5,178.3
454.6,49626,13,14.72688983,42.2,7.5,67.6,19.3,174.3
445.2,41450,18.1,22.75675307,38.8,9.1,60.8,9.1,195.9
468.1,36409,20.4,0,41.4,8.3,52,8.3,201.7
430.8,36176,22.7,0,41.4,11.8,48.7,9,212.3
490.9,37873,14.9,0,51.5,7.6,60.3,13.1,194.7
401,57408,11.9,92.12086257,35,4.2,68.5,19.9,166.2
426.3,39779,16.9,0,41.4,8.4,59.2,9.3,198.2
456.2,32734,27.4,0,40.6,9.4,46.5,9.2,214
364.5,39493,18,0,44.9,7.2,57.1,7.3,202.4
380.4,36964,17.9,0,44.2,6.2,54.4,10.5,167.6
403.9,29541,32.1,544.1189807,43.4,11.5,40.4,8,229
401.9,38504,21.5,0,34,8.4,65.3,14.1,170.4
398.5,35049,25,0,44.9,13.6,56,7.4,137.6
433.2,33826,19.9,0,43.8,9.5,53.8,7.5,228.7
460.8,40555,15.2,0,47.1,10.2,58.6,10.6,188.5
462.3,43201,16.6,0,42.4,9.7,59.5,10.8,163.4
414.9,37495,24.1,0,36,10.1,60.5,13.3,210
443.9,42348,18.3,47.57600266,40.7,8.1,58.3,11.1,167.2
387.1,42851,22.3,402.4761868,33.5,7.5,58.2,16.1,191
439.8,43466,16.6,0,38.8,7.9,57.4,10.1,195.3
389.9,35455,27.3,0,34.6,9.9,52,11.7,242.9
433.4,38597,22.3,0,40.1,8.6,54.2,9.1,230.9
472.7,34018,21,0,43.4,8.3,55.1,9.4,250
453.8,36620,24.9,0,41.1,19.4,56,8.4,194
455.6,33028,27.3,0,39.4,17.7,44,7.5,186.9
455.8,36801,24,0,37.5,14.3,54,13.6,190.6
449,51436,14.7,0,31.6,6.6,69,18,174
396.3,40404,17.5,0,40.4,11,55.8,8,201.6
394.1,33347,22.6,0,48,7.6,55.7,7.3,175
464.4,40621,18.7,421.9105344,44.1,9.2,56.3,13.2,196.4
502.9,46067,13.3,0,39.6,9.4,67.7,11.4,190.5
414.1,42572,16.3,0,38.3,9,58.7,10.2,194.5
380.6,33136,24.4,0,39.1,7.9,48.2,7.7,185
422.1,37831,18.7,0,40.9,7.6,58.1,8.5,200.3
477.4,35940,19.5,0,43.8,9.4,60.3,5.8,190.8
434.6,37336,18.8,0,38.6,8.5,51.6,9.5,220.6
438.6,41085,18.6,0,38.7,6.9,57.6,10.4,170.1
420,32744,22,0,48.1,10,53.1,8.1,184.1
532.1,32427,25.1,0,41,7.9,49.5,6.1,233
502.1,35927,26.8,27.94662195,38.5,11.2,56.5,11.5,204.1
395.3,34923,19.7,0,38.1,6.2,57.9,11.5,176.9
364.1,32225,27.5,0,45,12.5,49.6,9.4,195.2
442.5,34916,23,59.59830741,41.1,6.9,50.9,8.3,213.5
382.4,28006,39.3,0,40.6,17.3,39.9,5.5,217.6
402.4,37644,29,0,37.5,14.2,50.4,6.5,194.4
460.7,40418,17,0,41.3,8.3,59.9,6.9,196
392.5,37691,18.2,0,41.7,8.8,58.8,7.1,205.5
424.7,36391,21.1,0,42.8,8.1,57.1,9.9,221.2
492.3,54459,12.3,125.6193733,35.5,5.9,68.8,13.7,204.9
393.4,39158,18,0,41.8,7.3,56.4,7.1,195.3
442,33181,20.3,0,51.3,10.9,56,9.1,213.7
423.4,40877,20.8,0,37.8,9.6,55.4,10,212.3
403.3,33577,27.1,0,35.6,12,49.5,8.2,236.4
515.3,30682,28.1,0,45.2,12.8,42.4,7.7,229.9
400.3,34597,20.1,0,48.5,4.3,48.6,7.9,146.2
407.9,30935,25.1,0,41.8,9.5,48.4,10,210.7
430.4,46931,16.8,0,38.8,7.1,68.1,15.2,173.3
397.4,35895,20.1,0,47.7,4.4,51.8,9.7,203.6
426.8,34971,23,0,42.7,8.3,57.3,10.2,198.5
484.6,40556,17.3,0,43.1,6.8,60.2,6.9,209.9
438.5,28171,35.3,0,37.8,18.1,39.3,7.2,248.7
401.8,36893,20,0,41.4,6.6,48.7,8.4,184.3
480.5,35851,21.9,0,40.2,10,43.7,6.1,247.1
396.4,33127,22,0,43.1,9,47.1,7.8,187.2
475.7,39909,18.3,0,35.2,7.6,61.3,13.4,207.1
449.5,39896,18.7,0,45.4,6.2,51.7,7.2,196.7
472.3,45698,16.1,644.3167696,36.4,7.5,64.2,20.7,182.7
443.3,43057,16.7,202.37701,42.2,9,67.2,11.3,190.5
425.6,37761,18.3,0,42.9,5.4,51.3,8.7,212.5
375.9,30489,33.4,0,37.5,11.7,45.2,7.1,202.9
461.3,55915,8.7,187.2978035,38.7,5.3,70,15.4,169
410,33202,23.7,0,41.3,10.9,56.8,6.9,207.4
445.8,31765,23.3,0,47,5.9,46.7,8.8,219.4
429.4,39907,22.1,62.60760682,36.9,6.1,58.1,13.1,187.5
388.4,37014,20.4,0,34.9,9.3,51.1,4.6,179.5
493.4,32101,21.6,0,47.2,8.8,47.4,5.9,190.4
408.4,30010,24.4,0,48.5,7,48.5,9.5,171.7
494.4,40841,23.1,0,39.7,9.7,58.1,12.6,218.7
424,32975,22,0,47.1,11.2,50.1,8.3,178.9
430.3,45589,19.3,372.543541,31.2,6.2,65.1,17.8,173.1
473.3,42044,19.4,12.63248317,36.2,7.1,61.2,11.7,201.4
492.6,29969,25.1,0,43.9,12.4,40,7.7,215.9
445.9,37080,17.4,0,39.1,8.3,55.7,9.3,207.9
413.4,76996,12.5,262.4808099,37.1,8.3,70.7,25,147.7
469.8,54610,12.9,0,50,14,69.7,14.7,166.6
489.2,42302,21.9,70.98145166,36.8,12.1,58.5,17.5,178.7
413.9,53321,13.7,0,50.7,12.1,66.6,14.4,157.4
400.2,48006,14.3,0,34,10.4,48.9,11.4,153.3
482.9,34679,18.8,0,45.1,17,55.9,5.1,211.9
456.3,80338,10.5,332.817097,38.8,8.8,73.2,25.2,151.5
431.6,41419,22.4,0,38.8,11.5,50.4,9.4,185.4
458.6,70235,11.4,92.16489927,44.9,11.1,74.8,20.8,151.5
412.6,43338,27.5,82.06298129,31.4,13.2,49.4,13,152.8
443.4,43755,17.1,0,37.2,12.6,52.7,10.7,165.2
459.5,40581,21,7.367730813,37.4,10.5,55.1,18.5,177.4
387.9,38737,23.6,0,32.2,17.4,45.1,9.9,130.3
408.4,49267,14,0,45.7,6.8,65.9,14.7,138.1
419.5,47451,24.5,47.6095473,31.1,12.7,51.8,10.3,161.3
431.5,38221,22.7,0,41.6,9.9,48.5,15.6,156.8
430.2,53572,12,813.0326116,40.9,4.9,74.1,24.3,159.7
371.2,37911,19.1,0,44.8,4.5,71.2,18.7,126.9
460.7,36734,19.2,0,50.8,13.1,55.5,12.9,174.6
349.8,43132,15.4,0,51.2,0.8,83.4,15.6,130.6
378.7,41539,12.6,0,52.1,4.8,66.8,18.8,129.5
573.8,36903,18,0,49.6,3.9,57.7,18.8,198.6
420.1,44716,15.8,937.1086258,34.8,8.2,69.4,25.4,158.9
587,39827,19.1,0,48.5,4.6,61.7,10.7,196.6
459.2,42942,14.7,2191.334836,46.6,5.4,67.6,23.3,140.9
456.8,41595,15.7,0,47.9,6.3,62.5,15.3,151.2
424.8,39292,20.3,0,41.9,6,61.2,17.4,171.7
462,40072,20.2,0,45.4,2.2,63.2,12.1,161
404.2,42902,17.2,0,47.6,8.2,59.2,16.6,151.6
435.5,65738,8.2,0,38,2.5,70.8,11.4,170.1
509.5,37511,23.8,0,30.4,6.8,39.6,10,182.6
490.7,50751,20.5,0,36.9,10.6,59,14.8,164.6
439.6,32815,20.7,0,51.5,9.3,52.2,12.9,151.3
403.1,52711,10.2,0,47.1,2.7,76.9,17.8,165
445.5,39882,19.5,1357.518341,40.6,7,63.8,16.8,171.4
519.3,60812,8.4,421.674046,46.7,3.6,75.8,15.2,127.4
473.1,45000,12,0,46.1,0.9,72.5,20,165.6
447.8,46208,13.9,0,44.8,5.1,63.6,16.5,164.9
475.5,45207,17.2,0,41.7,3.1,57.3,10.4,174.2
424,46328,12.4,130.565348,45.5,2.6,64,14.1,129.5
382,35875,19.5,0,46.5,3.4,63.4,14,149.4
373.3,43859,11.7,0,51.2,3,68.1,16.4,214.4
475.8,51653,12.3,1757.424482,38,4.1,69.7,20.1,168.9
485.3,48658,12.5,63.31718745,37.8,5.5,75.6,14.9,157.5
472.7,50919,14,0,46.5,1.6,76,12.8,139
520.4,52914,10.3,0,45.6,1.2,80.4,11.5,171.1
434.4,55465,11.4,0,40.8,3.9,73.2,11.3,159
384.9,39964,13.9,0,50.8,1.1,69.4,14.5,135.2
358.2,42348,12.8,339.443313,47.6,0.7,67.1,10.2,156
443.6,51550,12.5,900.4768434,32.5,3.5,81.3,23.1,159.1
485.1,49345,10.6,0,47.4,3.3,72.3,12.3,201.4
399.5,54240,9.2,0,44.7,4.2,79.4,11.2,167.3
334.6,54421,10.4,0,44.8,2.2,83.7,13.1,120
462.8,52749,9.3,0,44.9,0.7,74.5,14.7,172.1
395.1,43564,13.3,0,43.9,2.6,76,14.5,148.7
439.5,55964,9,0,39.9,1.6,77,17.6,122.2
506.7,55758,11.3,0,43.2,2.8,69.5,14.2,148.9
394.5,50758,10.3,0,34.2,6.4,70.3,9.5,163
370.9,56047,9.1,0,43.6,3.3,74.1,14.3,128.3
429.8,45644,13.4,9439.200444,43.8,2.3,71.2,14.6,159.7
396,50289,14.8,0,33.7,7.4,65.5,7.6,177.8
370,40667,18.8,220.8724462,33.7,2.6,71.5,19.5,155.4
409,47366,13.7,0,36.2,4.8,68.3,9.7,139.7
402.3,44109,11.8,0,47.1,4.3,67.3,11.5,104.6
447.2,52601,10.7,0,41.9,4.5,72.8,12.6,168.3
487.5,50043,12.9,27.24350242,39.4,5.1,72.7,13.4,177.9
476.6,52842,14,818.0866226,34,5.7,72,24.2,179.7
406.9,45624,13.8,0,46.2,4,64.8,13.6,151.9
423.8,54556,10.1,0,47.5,3.4,74.7,13.5,150.3
339.4,44794,13.6,0,49.9,3.5,70.8,14.6,119.2
443.6,48543,13.7,0,44.4,2.4,77,11.8,127.2
482.7,44461,12.7,0,46.8,3.4,70.3,14,145.5
463.1,50861,11,0,44.6,4.3,75.9,14.1,165.2
419.3,38645,15.6,0,52.3,3.1,68.7,16.3,128.2
482.9,40436,11.8,0,51.4,3.5,70.2,11.8,141
445.3,55319,9.1,0,46.7,5.1,78.6,14.5,187.4
404.4,43858,12.7,0,46,1.9,71.4,10.7,149
469.4,48499,14.7,551.232166,35.8,6,65.7,12.4,160.8
411.9,62191,6.9,0,42.9,2.5,77.3,18.3,155.8
445.6,46744,11.4,0,49.5,1.7,74.1,12.4,223.9
501.5,40496,13.8,4856.052723,48.2,3,65.2,9.2,183.7
407.3,46667,12.5,0,45.5,0.9,77.3,14.9,155.3
450.8,51040,11.5,0,43.3,4,79.2,14.9,155.2
379.5,44947,11.5,0,45.5,4,73.2,10,201.3
425.6,48511,13.9,0,42.3,3.6,73.5,10.8,185.6
440.9,56791,9.6,0,40.8,3.8,78.9,16.8,136.4
411.5,45192,12,0,49.1,2.8,69.6,14.2,161.3
401.5,45771,11.7,0,45.7,5.1,59.9,11.6,203.8
461.2,42745,14.9,0,47.6,3.3,70.1,13.3,161.7
425.9,52011,14,486.1845282,32.9,5.1,76.9,23.9,153.5
456.8,49770,14.5,28.0457707,40.1,4.2,72,14.2,167
473.4,51836,13.7,485.1736636,37.5,3.1,72.2,13.6,161.2
448.8,50893,10.4,0,43.8,5.2,75.6,12.1,163.6
444.6,46961,14,0,41.3,4,69.2,13.6,131.6
395.7,48535,11.7,0,45.9,3.2,74.9,10.9,141.8
398.7,49162,13.6,567.6979847,39.1,8,76.5,20.4,164.7
431.1,43249,13.4,0,49.2,2.9,72.3,11.2,154.3
410.1,51527,10,0,41.8,4.6,77.7,15.1,149.1
425,42977,12.2,0,49.1,4.6,70.5,10.8,171.1
327.2,56080,10.4,0,44.1,1.7,78.8,13.5,147.5
409.2,54137,9.5,0,42,1.7,77.2,16.9,173.5
426.4,53489,10,0,41.3,4.7,80.2,15.9,159.5
424.5,61768,8.4,0,38,4.5,78.2,13.7,155.1
417.6,58162,8,0,45.4,1.9,81.9,14.7,187.7
428.4,43842,11.7,0,41.8,4.1,74.9,12.9,172.7
444,44282,14.4,0,47,3.4,69.5,15.1,192.2
502.1,46051,15,0,52,1.7,70.1,14.1,187.3
529,51805,10.1,0,36.6,3.4,76.3,8.1,181.9
463.5,74008,5.3,108.1437971,33.7,4.4,84.4,24.2,169.9
428.6,61961,8.2,333.0795584,41.4,3.5,80.2,16.1,176.2
419.7,47194,15.6,386.0897383,38.8,5.5,63.3,14.5,160.2
472.2,48195,19.9,849.9180278,34.2,7.2,64.3,23.6,190.8
431.5,37417,19.9,0,45.3,10.1,58.4,7.5,212.3
422.5,38595,20.1,0,41,7.6,56.9,9.3,202.8
497.9,45914,14.3,58.26713539,39.9,7.5,64.4,9.3,199.1
408,43425,19.6,0,40.3,6.6,63.9,11.6,185.6
471.4,56573,14.7,0,43.7,8.5,71.8,15.9,174.7
496.6,30299,28.1,0,44.2,10.4,45.2,7,230.9
465.4,43851,16.5,0,41.5,9.5,65.3,11.6,180.5
460.4,37498,19.5,0,40.4,9.5,62.5,10.3,214.7
469.4,41326,16.9,0,42.9,9.9,64.4,9.7,199.9
496,35704,21.9,0,43.6,9.5,59.8,7.6,211
469.7,36740,17.7,0,43.7,8.7,59.4,9.8,194.7
460.3,28086,26.1,0,42.6,10.2,40.8,6.7,218.9
489.4,37410,23.4,0,39.9,10.1,55.2,10,197.9
470.9,48380,15.9,553.5190823,39.3,8,68.3,18.2,172.9
483.5,27323,29.5,0,44.2,12.1,48.1,7.3,230.9
480.3,35321,25.3,350.0991948,39.8,18.7,53.5,5.7,213.7
456.8,36285,21.7,0,44.8,13.9,53.6,7.6,185.9
500.6,39506,19.6,0,43.4,10,61.2,8.8,211.8
457.4,35470,24.7,0,39.9,10.5,56.1,7.2,183.7
467.1,39303,19.1,0,40.7,9.4,59.8,8.4,204.5
479.3,37151,20.5,0,44.9,9.7,59.8,8.5,219.1
509.6,37443,20.2,0,40.7,8.6,53.7,6.6,213.5
457,39753,19.1,122.7144435,43.2,8.1,59,8.4,219
527.3,42837,17.6,716.8458781,42.2,8.9,66.9,8.9,222.6
449.1,35379,23.4,0,45.8,14.5,48.3,5.1,196.5
484,41235,17.8,0,42.3,9.1,63.7,9.6,185.3
414.7,31330,26.4,0,44.5,9,56.6,6.1,211.3
484.4,47199,17.7,276.9628914,37.3,6.5,71.1,21,181.6
413.7,28524,41.9,0,40.3,10.1,45.4,5.9,247.6
484.4,33595,24.8,0,37.1,13.4,50.8,5.8,218.3
438.8,34614,21.8,0,39.9,10.8,58.8,7.8,187.3
538.7,36255,20.3,0,43.5,7.7,57.8,8.4,217.1
421.9,41802,16.5,0,42.9,7.6,63.6,11.3,193
467.4,53945,13.6,0,46.5,8.9,65.1,15.7,170.6
447.5,39528,17.4,0,42.7,9.3,62.5,9.8,195.9
433.7,34882,23.5,0,42.6,14.9,54,7.8,210.7
531.4,36886,19.3,43.14622255,39.6,7.4,60,5.4,211.2
434,43113,20.9,133.1830755,37.6,8.4,62.7,17,176.3
521.2,40766,20.6,0,43.1,6.7,61.7,9.2,220.2
490.5,42839,15.5,0,39.4,8.4,65,10.4,216.9
450.4,51303,15.5,22.79020477,38.6,7.7,65.4,13.2,187.4
461.4,34801,20.8,0,44.3,15,57,4.6,229.6
482.9,37392,20.6,21.84789496,43,12.5,58.9,8,207
446.6,50935,13.9,0,30.3,9.7,72.1,16.6,195.4
408.9,50358,12.5,0,45.5,6.5,74.6,12.2,137.3
488.7,36390,23.4,0,40.8,8.5,60.4,4,191.1
455.6,40683,20.8,0,42.1,11.2,61,10.3,215.6
470.1,35884,18.9,0,42.2,7.7,59.9,8.2,220.1
492.4,33776,23.6,0,43.7,9.5,52.7,8,198.4
483.4,31996,19.2,0,49.4,4.9,60.2,4.8,160
480.2,36643,20.3,0,44,10.9,60.2,6.1,244
442.4,37693,20.8,134.1327646,36.1,8.4,61,15.4,189.2
532.5,37952,22,0,40.5,11.1,58.6,7.8,193.5
492.7,43269,18,0,46.1,9.8,63.7,11.3,198.7
496.6,52640,13.4,14.58363716,38.6,8.4,69.5,11.8,187.2
450.4,53799,14.7,26.79061793,32.9,6.8,72.9,21.4,177.6
535.4,31397,24.5,0,38.6,14.1,48.7,4.6,255.9
465.4,44111,18.7,0,41.9,9,61.9,7.6,227.4
493.9,39905,17.7,10.42252934,42.2,7.4,56.5,10.4,185.2
461.5,44015,23,393.3612559,34.9,10.3,61.3,18.9,202.7
486.5,43659,15,0,41.6,5.2,64.4,6.2,225.1
514.7,41590,17.5,301.6818765,43.2,10.1,66,8.1,230.1
472.8,38840,18.5,344.4075234,44.3,8.2,64.3,13.6,187.2
470.6,58291,11.3,102.2791197,39.4,6,70.2,16.5,162.5
484.6,52339,15.4,32.32584451,37,10.6,67.8,9.6,208.4
462.6,40251,17.5,0,40.2,10.5,60.3,6.6,217
444.8,37632,20.1,0,45.7,13.7,57.8,7.5,196.1
526.2,37453,22.6,0,41,9.5,54.1,6,221.3
468.4,34884,20.6,0,45.8,11.2,57.9,7.5,174.1
453.3,36942,19,0,39.7,8,55,8,209.6
451.1,43212,16.7,47.50518598,39.8,6.2,68,18,176.7
434.8,33573,23.3,0,42.2,12.2,54.7,5.6,201.4
443.1,36205,21.5,0,36.9,11.2,69.2,13.6,205.4
459.9,35400,21.9,0,42.5,10.5,58.8,7.5,203.7
443.4,97936,5.6,118.1072603,38.9,4.2,86.6,35.8,139
463.3,60955,10.1,23.27186974,40.1,6.5,74,19.9,179.2
394.3,42471,20.4,0,38.9,4.3,59.7,7.5,245.2
401.3,66878,10.7,0,31.3,3.9,63.3,8.8,182.2
499.2,42128,17.9,11.33080279,36.4,9.1,54.4,10.1,168.3
433.4,44551,17.5,0,49,6.8,54.3,12.5,194.6
289.2,58867,9.4,0,44.1,3,72.3,16.6,138.8
435.7,55177,11,0,45.1,1.1,75.7,16.1,213.4
387.6,52785,16.9,454.2169918,35.5,6.5,57.7,9.3,169.1
398.2,58792,11.2,0,40.6,6.2,67.3,14.4,160.1
334.4,36821,19.9,0,34.9,4.3,45.2,4.6,110.4
388.9,50107,13.5,0,51.5,4.8,63,15.4,140
415.6,52886,14.7,0,38.7,9.8,62,12,181.8
458.2,36027,18.3,0,48.5,1.4,64.2,19.6,212.3
341,40680,24.9,0,35.3,7,52.1,6.3,151.6
475.2,51048,14.2,8.956801347,30.2,9.5,70.2,15.2,177.3
399.2,50699,18.3,286.6547965,33.1,7.4,61.1,17.1,157.2
372.8,57177,12,0,48.6,6.4,64.8,19.7,154
393.2,44397,15,0,46,7.9,59.9,11.5,190.7
427.6,41883,20.1,0,37.7,8.5,59.7,11.9,184.8
429.3,73788,9.9,2.88756959,35.5,5.4,69.6,18.5,169.3
424.7,41641,26.4,51.15398745,25.2,6.4,72.6,20.8,151.8
387.7,40179,13.8,0,42.1,4.9,65,22.8,160.4
408,27875,32.4,0,31.7,19.8,33.5,7.7,173.3
427.7,41316,17.5,0,41,4.3,60.3,13.1,188.4
508,33134,27.4,0,42.3,10.1,53.6,7.1,224
490.9,51138,14.3,191.7315758,34.7,5.7,68.5,16.1,172.6
492.8,39812,24.1,365.863358,36.6,7,56.7,15,199.4
490.4,45979,18.4,5.030484738,36.1,8.3,62.2,14.4,192.2
467.6,36350,23.3,0,39.9,10.2,49.8,6.4,200.1
509.4,59300,12.2,0,42.6,6.3,75.2,11.5,133.3
504.4,34116,23.3,0,38.5,8.3,50.5,9.9,224.9
473.5,35385,28.2,0,42.2,13.5,49.4,8.6,177.8
480.4,31835,30.9,0,38.3,11.7,49.3,8,216.1
503.8,40642,23.5,258.7609049,39.8,9.3,57,8.5,197.8
487.1,46831,18.4,346.947866,33.2,7.6,65.9,21.6,178.8
512.7,25402,43,0,33.3,19.2,36.3,6.6,250.7
570.8,41651,20.4,0,41.8,6.5,60.3,8.9,212.2
459.2,32615,24.1,0,35.8,10.4,49,9.3,211.4
479.6,32318,29,0,37.9,11.5,46.4,6.4,140.5
482.7,40668,22.8,0,37.6,9.2,56.5,6,222.7
515.4,45226,19.4,0,35.8,10.6,58,9,205.9
586.2,47377,19.9,0,38.4,7.9,62.8,8.9,225.1
518.6,37130,24.6,0,39.6,6.9,55.6,8.4,217.7
473.9,47024,15.8,430.9208641,38.7,6.7,58.6,16.5,188.6
499.6,37968,21.7,0,38.4,9.2,57.5,9.7,208
487.3,51340,15.1,79.13435347,34,6.3,67.8,20.8,182.9
467.5,47382,17.6,20.34070684,36.6,7,63.4,10.2,198.7
464.8,44139,18,0,38.6,6.3,61.3,8.6,209.6
436.3,32889,29.7,0,27.4,11.9,63.4,20.8,205.7
494.6,58818,12.3,0,35.3,7,64.3,14.3,186.5
379,26732,41.4,0,34.6,16.9,36.8,7.8,181.9
457.3,30636,29.4,37.88596325,39.3,8,46.9,9.3,186.4
447.2,34522,31.1,0,33.8,12.2,53.1,11.5,181.5
466,35468,27.9,523.5911164,35.4,10.3,53.9,20,193.6
480.9,40877,23.6,140.3410287,34.7,8,55.1,15.9,199.7
458.7,51304,16,0,36.5,4.7,67.4,10.2,180.7
507.4,44469,18.3,44.94180037,42.6,8.3,59.2,9.7,188.2
484.9,40406,19.8,75.67673924,37.4,8.6,57.1,11.6,189
431.7,33322,25.3,0,39.8,9.2,51.4,8.7,172.2
456.4,36666,24.9,0,38,9.6,46.5,9.4,191.3
500.4,39561,21.2,82.69246672,41.5,10.6,57.2,9.2,202.5
516.9,45615,17.9,0,33,12.2,61.6,9.9,233.1
470.8,60751,12.1,37.87018102,37.2,7.7,66.5,14.9,190.3
461.5,35004,24,0,39.2,14.4,44.6,5.6,212.5
497.4,47477,16.1,0,38.8,11,64.7,10,201.2
460.8,47225,20.8,0,36,9.2,59,11.5,200.6
530.4,32683,30.1,0,36.6,6.1,56.3,9,217.8
499.7,46713,18,0,36.7,7.2,60.9,9.4,198.1
474,42075,21.8,0,37.7,12.2,51.3,7.9,200.6
494.5,63441,11.2,115.9591824,39.8,7.6,67.8,20.3,177.7
389,27522,32,0,43,15.6,38.7,7.1,142.5
493.1,49044,20.9,96.51493349,35.2,5.5,59.8,9.8,213.2
463.9,38998,22,0,41.7,7.7,56.1,8.2,220.2
